2019-12-03 13:23:24,824 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 34793 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 13:23:24,826 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 13:23:27,256 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.814 seconds (JVM running for 3.473)
2019-12-03 22:29:40,772 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36228 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:29:40,775 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:29:43,522 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.189 seconds (JVM running for 3.912)
2019-12-03 22:35:32,097 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36272 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:35:32,099 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:35:34,545 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.843 seconds (JVM running for 3.487)
2019-12-03 22:37:56,348 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36313 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:37:56,349 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:37:58,817 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.829 seconds (JVM running for 3.452)
2019-12-03 22:44:06,726 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36334 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:44:06,727 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:44:09,155 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.792 seconds (JVM running for 3.468)
2019-12-03 22:50:05,569 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36354 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:50:05,570 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:50:07,981 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.795 seconds (JVM running for 3.437)
2019-12-03 22:51:09,796 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36364 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:51:09,797 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:51:12,287 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.86 seconds (JVM running for 3.504)
2019-12-03 22:52:16,518 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36371 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:52:16,520 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:52:18,979 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.857 seconds (JVM running for 3.496)
2019-12-03 22:54:46,972 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36385 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 22:54:46,974 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 22:54:49,696 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 3.16 seconds (JVM running for 3.838)
2019-12-03 23:39:29,320 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36490 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 23:39:29,322 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 23:39:57,150 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36501 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 23:39:57,151 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 23:39:59,610 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.847 seconds (JVM running for 3.567)
2019-12-03 23:42:44,527 [main] INFO  c.c.s.SpringbootModelApplication 50 - Starting SpringbootModelApplication on ccdeMacBook-Pro.local with PID 36510 (/Users/cc/IdeaProjects/springboot-model/target/classes started by cc in /Users/cc/IdeaProjects/springboot-model)
2019-12-03 23:42:44,528 [main] INFO  c.c.s.SpringbootModelApplication 675 - No active profile set, falling back to default profiles: default
2019-12-03 23:42:47,038 [main] INFO  c.c.s.SpringbootModelApplication 59 - Started SpringbootModelApplication in 2.91 seconds (JVM running for 3.599)
